model,input,subset,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
majority,message_only,test,0.3,0.05128205128205129,0.13846153846153847,0.03333333333333333,0.1111111111111111
majority,message_only,val,0.43333333333333335,0.0755813953488372,0.262015503875969,0.05416666666666667,0.125
majority,message_only,golden_all,0.16,0.019704433497536946,0.044137931034482755,0.011428571428571429,0.07142857142857142
majority,message_only,golden_rep,0.12666666666666668,0.016060862214708368,0.028481262327416174,0.009047619047619049,0.07142857142857142
majority,message_only,golden_chal,0.26,0.031746031746031744,0.10730158730158729,0.02,0.07692307692307693
logistic,message_only,test,0.2,0.1333999333999334,0.19867243867243867,0.13736263736263735,0.16880341880341881
logistic,message_only,val,0.13333333333333333,0.04791666666666666,0.1825,0.09523809523809523,0.04700854700854701
logistic,message_only,golden_all,0.23,0.1635282868479994,0.23200667117732227,0.17193070904251026,0.1908675603650687
logistic,message_only,golden_rep,0.24666666666666667,0.17242211631309373,0.25055053134000504,0.18481715652768285,0.24578066044231459
logistic,message_only,golden_chal,0.18,0.11921768707482992,0.15923809523809523,0.10706039991754276,0.17527472527472526
svm,message_only,test,0.2,0.163003663003663,0.23174603174603176,0.20512820512820512,0.16880341880341881
svm,message_only,val,0.13333333333333333,0.053030303030303025,0.16944444444444443,0.07272727272727274,0.05128205128205128
svm,message_only,golden_all,0.245,0.14390255222323534,0.23749911448450348,0.14542392131677845,0.1607704195951704
svm,message_only,golden_rep,0.28,0.15231169390833252,0.2683479135243841,0.16397313369988023,0.17790818204352038
svm,message_only,golden_chal,0.14,0.1130952380952381,0.11,0.09141156462585033,0.16428571428571428
majority,message_context,test,0.3,0.05128205128205129,0.13846153846153847,0.03333333333333333,0.1111111111111111
majority,message_context,val,0.43333333333333335,0.0755813953488372,0.262015503875969,0.05416666666666667,0.125
majority,message_context,golden_all,0.16,0.019704433497536946,0.044137931034482755,0.011428571428571429,0.07142857142857142
majority,message_context,golden_rep,0.12666666666666668,0.016060862214708368,0.028481262327416174,0.009047619047619049,0.07142857142857142
majority,message_context,golden_chal,0.26,0.031746031746031744,0.10730158730158729,0.02,0.07692307692307693
logistic,message_context,test,0.16666666666666666,0.10315581854043392,0.18094017094017095,0.15256410256410255,0.14316239316239315
logistic,message_context,val,0.16666666666666666,0.06904761904761905,0.14666666666666667,0.08035714285714286,0.09478021978021978
logistic,message_context,golden_all,0.245,0.1209889299201786,0.21759846816518483,0.1294543980382851,0.1549150177680078
logistic,message_context,golden_rep,0.28,0.13435374149659865,0.2512063492063492,0.148920543827287,0.16723990295418867
logistic,message_context,golden_chal,0.14,0.07375798804370233,0.11918037518037519,0.07052154195011338,0.14313186813186812
svm,message_context,test,0.16666666666666666,0.050824175824175824,0.1857142857142857,0.05961538461538462,0.04594017094017094
svm,message_context,val,0.2,0.07464114832535886,0.2357894736842105,0.09090909090909091,0.07342657342657342
svm,message_context,golden_all,0.28,0.13505434782608697,0.24017391304347824,0.12484209918420444,0.16915691282385634
svm,message_context,golden_rep,0.31333333333333335,0.13685642678123883,0.2642860484544695,0.13223485423946252,0.17283956644858897
svm,message_context,golden_chal,0.18,0.12667595562332404,0.16795362532204636,0.11507936507936507,0.1717032967032967
