intent,n,expected_escalate,predicted_escalate,expected_escalate_rate,predicted_escalate_rate
account_access,6,5,1,0.833,0.167
account_info_update,1,0,0,0.0,0.0
cancellation,6,5,2,0.833,0.333
charge_issue,11,10,6,0.909,0.545
delivered_but_not_received,11,11,3,1.0,0.273
delivered_wrong_location,7,5,2,0.714,0.286
delivery_delay,43,6,8,0.14,0.186
device_app_issue,14,4,2,0.286,0.143
none,32,4,10,0.125,0.312
order_status_query,13,2,5,0.154,0.385
other_unclear,3,3,1,1.0,0.333
product_return_and_replacement,18,15,12,0.833,0.667
refund_request,8,7,2,0.875,0.25
service_complaint_escalation,27,27,15,1.0,0.556
