model,variant,n_queries,R@1,R@3,R@5,R@10,useful_R@1,useful_R@3,useful_R@5,useful_R@10,MRR,no_relevant_top5,no_useful_top5,canned_rate_at5,no_canned_R@5,no_canned_R@10,latency_ms_avg,latency_ms_p95
bm25,ctx,30,0.0761111111111111,0.10944444444444444,0.10944444444444444,0.16444444444444445,0.05,0.08055555555555555,0.08055555555555555,0.1472222222222222,0.2389814814814815,0.7333333333333333,0.8,0.0,0.10944444444444444,0.16444444444444445,300.8460332348477,540.5245000147261
bm25,msg,30,0.1338888888888889,0.19,0.2033333333333333,0.2755555555555555,0.11388888888888889,0.1722222222222222,0.18888888888888886,0.28055555555555556,0.446984126984127,0.5333333333333333,0.6,0.0,0.2033333333333333,0.2755555555555555,100.19679313991219,133.16583400592208
dense,ctx,30,0.18388888888888888,0.3016666666666667,0.35777777777777775,0.3661111111111111,0.16944444444444443,0.33055555555555555,0.4027777777777778,0.41388888888888886,0.6833333333333333,0.3,0.4666666666666667,0.0,0.35777777777777775,0.3661111111111111,2431.6670348033463,1514.0277079772204
dense,msg,30,0.25166666666666665,0.4477777777777778,0.576111111111111,0.5927777777777777,0.23055555555555554,0.4388888888888889,0.5833333333333334,0.6027777777777777,0.85,0.13333333333333333,0.23333333333333334,0.0,0.576111111111111,0.5927777777777777,268.4454540004178,374.85754099907354
hybrid,ctx,30,0.08722222222222223,0.11722222222222221,0.15166666666666667,0.19166666666666668,0.06666666666666667,0.10555555555555556,0.13333333333333333,0.1722222222222222,0.26981481481481484,0.6333333333333333,0.7,0.0,0.15166666666666667,0.19166666666666668,782.7101527635629,1682.901457999833
hybrid_a03,ctx,30,0.0761111111111111,0.11055555555555555,0.1338888888888889,0.15555555555555556,0.05555555555555555,0.09444444444444443,0.125,0.125,0.23166666666666666,0.7,0.7333333333333333,0.0,0.1338888888888889,0.15555555555555556,719.9734499076536,1417.1225000172853
hybrid_a07,ctx,30,0.05388888888888889,0.145,0.20166666666666666,0.25666666666666665,0.06666666666666667,0.18333333333333332,0.19444444444444445,0.2388888888888889,0.3112433862433862,0.5666666666666667,0.6333333333333333,0.0,0.20166666666666666,0.25666666666666665,535.7175347977318,876.5514589613304
hybrid,msg,30,0.16444444444444445,0.2772222222222222,0.325,0.41055555555555556,0.12777777777777777,0.28888888888888886,0.35833333333333334,0.43333333333333335,0.5325396825396825,0.3333333333333333,0.36666666666666664,0.0,0.325,0.41055555555555556,473.44558199401945,759.7567499615252
hybrid_a03,msg,30,0.13666666666666666,0.2538888888888889,0.29888888888888887,0.3266666666666667,0.11666666666666667,0.25833333333333336,0.2972222222222222,0.3333333333333333,0.46111111111111114,0.4666666666666667,0.5,0.0,0.29888888888888887,0.3266666666666667,294.0493707661517,418.17154199816287
hybrid_a07,msg,30,0.15444444444444444,0.3527777777777778,0.4261111111111111,0.5522222222222222,0.175,0.40555555555555556,0.4444444444444445,0.525,0.6317460317460317,0.23333333333333334,0.3,0.0,0.4261111111111111,0.5522222222222222,368.4086778628019,524.7812499874271
tfidf,ctx,30,0.13166666666666668,0.1827777777777778,0.21722222222222223,0.24055555555555555,0.08333333333333333,0.15277777777777776,0.20555555555555557,0.20555555555555557,0.4675925925925926,0.4666666666666667,0.5666666666666667,0.0,0.21722222222222223,0.24055555555555555,208.82748185734576,322.06949999090284
tfidf,msg,30,0.06333333333333332,0.19444444444444445,0.2411111111111111,0.28,0.058333333333333334,0.16944444444444443,0.21388888888888888,0.2472222222222222,0.38814814814814813,0.4,0.5333333333333333,0.0,0.2411111111111111,0.28,123.83997490396723,175.05700001493096
